144,11,34,22,422,23.4, 16.3, -21.2,0.0, 125.6, 0.0,83.8, 197.2, 84.2
145,11,34,22,929,23.4, 16.3, -21.2,0.0, 125.6, 0.0,83.8, 197.2, 84.2
146,11,34,23,436,23.4, 16.3, -21.2,0.0, 125.6, 0.0,83.8, 197.2, 84.2
147,11,34,23,942,23.4, 16.3, -21.2,0.0, 125.6, 0.0,83.8, 197.2, 84.2
148,11,34,24,449,23.4, 16.3, -21.2,0.0, 125.6, 0.0,83.8, 197.2, 84.2
149,11,34,24,956,23.4, 16.3, -21.2,0.0, 125.6, 0.0,83.8, 197.2, 84.2
150,11,34,25,463,23.4, 16.3, -21.2,0.0, 170.3, 0.0,68.8, 173.8, 17.2
151,11,34,25,970,23.4, 16.3, -21.2,0.0, 170.3, 0.0,68.8, 173.8, 17.2
152,11,34,26,476,23.4, 16.3, -21.2,0.0, 167.0, 0.0,71.7, 173.3, 19.8
153,11,34,26,983,23.4, 16.3, -21.2,0.0, 172.7, 0.0,79.2, 194.3, 34.7
154,11,34,27,491,23.4, 16.3, -21.2,0.0, 174.1, 0.0,78.5, 193.4, 32.4
155,11,34,27,998,23.4, 16.3, -21.2,0.0, 179.1, 0.0,78.9, 199.6, 33.5
156,11,34,28,504,23.4, 16.3, -21.2,0.0, 179.6, 0.0,83.8, 247.5, 80.5
157,11,34,29,11,23.4, 16.5, -23.3,0.0, 179.8, 0.0,83.7, 263.5, 96.3
158,11,34,29,517,23.4, 16.6, -24.2,0.0, 179.4, 0.0,83.6, 263.1, 96.3
159,11,34,30,17,22.9, 16.6, -24.6,0.0, 237.3, 0.0,81.2, 320.7, 96.6
160,11,34,30,527,20.8, 16.7, -25.9,0.0, 240.1, 0.0,81.0, 323.5, 96.6
161,11,34,31,35,18.4, 16.7, -26.4,0.0, 259.7, 0.0,80.0, 343.0, 96.7
162,11,34,31,542,16.2, 16.7, -25.2,0.0, 259.5, 0.0,78.2, 342.7, 96.8
163,11,34,32,49,13.7, 16.9, -25.7,0.0, 257.9, 0.0,75.8, 341.0, 96.8
164,11,34,32,552,11.2, 17.0, -25.6,0.0, 280.4, 0.0,69.3, 4.0, 96.4
165,11,34,33,60,8.7, 17.0, -25.2,0.0, 278.9, 0.0,62.3, 3.7, 95.2
166,11,34,33,567,6.3, 16.7, -24.8,0.0, 278.9, 0.0,62.3, 3.7, 95.2
167,11,34,34,69,4.9, 16.5, -24.6,0.0, 351.0, 0.0,59.0, 76.7, 94.3
168,11,34,34,578,6.6, 16.7, -25.1,0.0, 31.3, 0.0,59.1, 112.9, 90.8
169,11,34,35,87,8.6, 16.9, -24.0,0.0, 36.4, 0.0,59.1, 119.6, 92.1
170,11,34,35,594,10.4, 17.0, -22.1,0.0, 36.4, 0.0,59.1, 119.8, 92.3
171,11,34,36,102,12.9, 17.1, -21.7,0.0, 36.0, 0.0,59.1, 120.1, 93.0
172,11,34,36,609,15.3, 17.0, -21.3,0.0, 35.7, 0.0,59.0, 120.4, 93.5
173,11,34,37,116,17.9, 17.0, -20.7,0.0, 35.4, 0.0,59.0, 120.9, 94.1
174,11,34,37,623,19.4, 16.6, -18.8,0.0, 35.4, 0.0,59.0, 121.1, 94.3
175,11,34,38,130,21.7, 16.3, -17.8,0.0, 35.4, 0.0,58.9, 121.1, 94.3
176,11,34,38,636,23.0, 16.4, -17.6,0.0, 35.4, 0.0,58.9, 121.1, 94.3
177,11,34,39,149,23.0, 16.4, -17.6,0.0, 355.4, 0.0,58.8, 81.2, 94.2
178,11,34,39,659,23.0, 16.4, -17.6,0.0, 326.2, 0.0,58.7, 52.0, 94.2
